deviceName;timestamp;processValue;workingOutput;workingSetpoint
reactor;2026-07-08T01:31:27.472685;308.15;1.00;308.15
reactor;2026-07-08T01:31:28.128395;308.15;1.19;308.15
reactor;2026-07-08T01:31:28.800267;308.15;1.24;308.15
reactor;2026-07-08T01:31:29.472072;308.15;1.12;308.15
reactor;2026-07-08T01:31:30.143965;308.15;1.22;308.15
reactor;2026-07-08T01:31:30.784622;308.15;1.12;308.15
reactor;2026-07-08T01:31:31.457338;308.15;1.23;308.15
reactor;2026-07-08T01:31:32.112706;308.15;1.18;308.15
reactor;2026-07-08T01:31:32.767507;308.15;1.18;308.15
reactor;2026-07-08T01:31:33.407351;308.15;1.18;308.15
reactor;2026-07-08T01:31:34.048857;308.15;1.01;308.15
reactor;2026-07-08T01:31:34.720361;308.15;0.83;308.15
reactor;2026-07-08T01:31:35.377113;308.15;0.72;308.15
reactor;2026-07-08T01:31:36.032205;308.15;0.85;308.15
reactor;2026-07-08T01:31:36.688353;308.15;1.13;308.15
reactor;2026-07-08T01:31:37.360367;308.15;0.93;308.15
reactor;2026-07-08T01:31:38.030660;308.15;1.00;308.15
reactor;2026-07-08T01:31:38.702708;308.15;1.09;308.15
reactor;2026-07-08T01:31:39.391721;308.15;1.04;308.15
reactor;2026-07-08T01:31:40.030788;308.15;1.06;308.15
reactor;2026-07-08T01:31:40.672124;308.15;1.09;308.15
reactor;2026-07-08T01:31:41.310231;308.15;1.13;308.15
reactor;2026-07-08T01:31:41.949794;308.15;0.96;308.15
reactor;2026-07-08T01:31:42.589945;308.15;0.72;308.15
reactor;2026-07-08T01:31:43.232087;308.15;0.85;308.15
reactor;2026-07-08T01:31:43.885687;308.15;0.87;308.15
reactor;2026-07-08T01:31:44.543441;308.15;0.92;308.15
reactor;2026-07-08T01:31:45.183648;308.15;0.93;308.15
reactor;2026-07-08T01:31:45.823117;308.15;1.00;308.15
reactor;2026-07-08T01:31:46.477911;308.15;1.41;308.15
reactor;2026-07-08T01:31:47.134194;308.15;1.39;308.15
reactor;2026-07-08T01:31:47.806159;308.14;1.49;308.15
reactor;2026-07-08T01:31:48.478004;308.15;1.31;308.15
reactor;2026-07-08T01:31:49.133803;308.14;1.52;308.15
reactor;2026-07-08T01:31:49.804770;308.14;1.47;308.15
reactor;2026-07-08T01:31:50.446763;308.15;0.96;308.15
reactor;2026-07-08T01:31:51.117505;308.15;1.00;308.15
reactor;2026-07-08T01:31:51.807041;308.15;0.99;308.15
reactor;2026-07-08T01:31:52.478305;308.15;1.23;308.15
reactor;2026-07-08T01:31:53.150059;308.15;1.08;308.15
reactor;2026-07-08T01:31:53.822098;308.15;0.99;308.15
reactor;2026-07-08T01:31:54.461797;308.15;0.87;308.15
reactor;2026-07-08T01:31:55.102379;308.15;1.17;308.15
reactor;2026-07-08T01:31:55.772079;308.15;1.06;308.15
reactor;2026-07-08T01:31:56.427879;308.15;0.89;308.15
reactor;2026-07-08T01:31:57.100381;308.15;1.14;308.15
reactor;2026-07-08T01:31:57.771782;308.14;1.29;308.15
reactor;2026-07-08T01:31:58.429016;308.15;1.20;308.15
reactor;2026-07-08T01:31:59.083850;308.15;0.96;308.15
reactor;2026-07-08T01:31:59.723704;308.15;0.85;308.15
reactor;2026-07-08T01:32:00.365428;308.15;0.72;308.15
reactor;2026-07-08T01:32:01.004940;308.15;0.80;308.15
reactor;2026-07-08T01:32:01.643558;308.15;0.85;308.15
reactor;2026-07-08T01:32:02.316548;308.15;0.84;308.15
reactor;2026-07-08T01:32:02.955459;308.15;0.64;308.15
reactor;2026-07-08T01:32:03.627225;308.16;0.57;308.15
reactor;2026-07-08T01:32:04.282994;308.15;0.87;308.15
reactor;2026-07-08T01:32:04.955595;308.15;0.99;308.15
reactor;2026-07-08T01:32:05.611775;308.15;1.03;308.15
reactor;2026-07-08T01:32:06.284220;308.15;0.84;308.15
reactor;2026-07-08T01:32:06.938847;308.15;0.74;308.15
reactor;2026-07-08T01:32:07.596751;308.16;0.67;308.15
reactor;2026-07-08T01:32:08.234265;308.15;0.94;308.15
reactor;2026-07-08T01:32:08.892253;308.15;0.86;308.15
reactor;2026-07-08T01:32:09.547353;308.15;0.88;308.15
reactor;2026-07-08T01:32:10.187369;308.15;0.93;308.15
