Spectrum	Date	Time	NO (350,3000) 191C	NO2 (150) 191C (1of2)	NO2 (2000) 191C (2of2)	N2O (100,200,300) 191C (1of2)	NH3 (300) 191C (1of2)	NH3 (3000) 191C (2of2)	HNCO (400) 191C	H2O% (25) 191C	Formaldehyde (70,500) 191C	CO (500) 191C (1of3)	CO% (1) 191C (2of3)	CO2 low% (4) 191C (2of2)	Propylene (200,1000) 191C	Diesel C1 (4500) 191C	Ethylene (100,3000) 191C	CH4 (250) 191C (1of2)	CH4 (3000) 191C (2of2)	Ethane (1000) 191C	Acetylene (1000) 191C	HNO2 (20) 191C	N2O (1040) 191C (2of2)	CO% (10) 191C (3of3)	MeOH (1000) 191C	Formic Acid (100) 191C	SO2 (300) 191C	Temp (C)	Pressure (Atm)	NOx autorange	CO autorange	CH4 autorange	NH3 autorange	NOx autorange dry	CO autorange dry	CO2% autorange dry	N2O dry	NH3 autorange dry	FIDeq THC ppmC	FIDeq NMHC ppmC	FIDeq NMNEHC ppmC	CO2% autorange	FTIR NMHC ppmC	FTIR NMNEHC ppmC	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	08.07.2026	16:30:17,000	-0,087307	0,651846	1,489959	0,509988	2,505421	0,977829	-0,627863	0,000823	0,585950	-0,127272	0,000329	0,016624	0,219356	3,217447	0,454485	-0,198846	2,277980	-0,573076	0,953241	-0,618020	-1,687482	-0,012885	-0,406296	-0,243626	-1,098983	192,607239	0,993776	0,564539	0,585950	0,000329	2,505421	0,562110	0,571395	-0,239162	0,508022	2,489311	9,142759	9,142398	8,703686	-0,243626	8,876921	8,438209	5,511682	7,634667	92,470589	7,215686	-4,980392	0,000000	567,081075	0,002574	284,271537	1,564327
N/A	08.07.2026	16:30:17,200	0,621977	0,663593	1,883000	0,505847	2,386592	5,853941	-0,242016	-0,002505	1,222134	0,143661	0,000648	-0,000576	-0,853245	-0,986962	0,008312	-0,287548	-0,358154	0,093681	1,343043	0,264117	-3,922717	-0,007201	-0,249153	-0,032549	-0,494491	192,607239	0,993828	1,285570	1955,171324	0,000648	2,386592	1,286112	1959,856691	-0,031015	0,504798	2,380233	-7,422402	-7,423115	-5,716625	-0,032549	-10,165732	-8,459242	5,511682	7,634931	92,470589	7,215686	-4,980392	0,000000	567,080562	0,002512	259,989547	1,563239
N/A	08.07.2026	16:30:17,400	0,521263	0,567108	-0,033193	0,613153	2,413861	6,469419	1,831888	0,004702	0,153239	0,561447	0,000069	-0,010038	-0,868667	-2,218639	-0,320340	0,082088	-1,919855	0,703364	1,191446	1,129993	-1,559926	0,004367	0,150083	0,097443	0,286122	192,607239	0,993828	1,088371	5614,467349	0,000069	2,413861	1,100151	5763,137369	0,099000	0,626194	2,461079	-10,802323	-10,802399	-9,065065	0,097443	-11,548218	-9,810884	5,511696	7,635231	92,470589	7,215686	-4,980392	0,000000	567,080448	0,002469	249,777945	1,563928
N/A	08.07.2026	16:30:17,600	-0,107636	0,548034	1,263004	0,670335	2,468759	1,525584	1,415269	0,011641	-0,439902	0,504986	-0,000142	-0,008823	-0,670389	-0,776017	-0,292179	0,594394	0,601885	0,297359	1,121005	1,732499	1,545626	0,007805	0,398840	0,045438	0,308461	192,607239	0,993828	0,440397	5312,077706	-0,000142	2,468759	0,451170	5495,764121	0,047373	0,681522	2,507368	1,215802	1,215958	2,556737	0,045438	4,019947	5,360726	5,511710	7,635167	92,470589	7,215686	-4,980392	0,000000	567,080674	0,002402	251,134947	1,564833
N/A	08.07.2026	16:30:17,800	-0,170310	0,555464	5,772362	0,631079	2,359467	-3,950189	-2,392351	0,004006	0,366967	0,058583	0,000675	-0,001203	-0,733085	-0,152629	-0,148542	0,522275	3,478557	-0,531868	1,020783	1,544167	1,207268	-0,002355	0,272454	-0,080013	-0,357340	192,607239	0,993887	0,385154	1195,378600	0,000675	2,359467	0,374545	1155,142362	-0,077511	0,616179	2,304772	7,939428	7,938685	9,404855	-0,080013	10,730319	12,196488	5,511715	7,634351	92,470589	7,215686	-4,980392	0,000000	567,080894	0,002373	253,108270	1,564522
N/A	08.07.2026	16:30:18,000	0,920871	0,168719	-0,893619	0,702329	2,198445	-3,315548	-3,319711	-0,022627	-0,568891	0,645673	0,000257	0,020652	-0,477070	-1,285925	-0,645283	-1,001918	-2,588074	0,944866	-0,668863	-0,161000	-2,994393	-0,012585	0,245790	-0,343199	-0,585005	192,607239	0,994149	1,089590	6456,728592	0,000257	2,198445	1,055223	6247,085395	-0,331596	0,679672	2,128017	-17,667577	-17,667860	-16,713720	-0,343199	-21,602391	-20,648251	5,511738	7,632513	92,470589	7,215686	-4,980392	0,000000	567,080980	0,002673	237,565532	1,563476
N/A	08.07.2026	16:30:18,200	0,687932	0,677805	0,264220	0,616973	2,188667	-0,967540	2,260509	0,011929	0,198137	0,496739	-0,000070	0,018760	-1,100109	-1,281702	-0,693638	-0,215560	-1,780212	0,217296	-1,139028	-0,117105	2,099090	0,010667	-0,509881	-0,024454	-0,652121	192,607239	0,994149	1,365737	4967,390479	-0,000070	2,188667	1,400772	5070,532908	-0,021929	0,630754	2,240408	-14,629030	-14,628953	-12,428735	-0,024454	-13,775972	-11,575753	5,511744	7,633999	92,470589	7,215686	-4,980392	0,000000	567,080522	0,003023	215,535208	1,562907
N/A	08.07.2026	16:30:18,400	0,524988	0,631140	3,155682	0,649848	2,563246	1,532373	0,639558	0,028357	0,857234	-0,009056	0,000190	0,008099	0,643467	-1,174528	-0,032668	0,451892	0,974277	0,122243	-0,968168	0,500157	6,468833	0,010861	-0,728536	0,059146	-1,075890	192,607239	0,994149	1,156127	1766,649997	0,000190	2,563246	1,168080	1825,174640	0,059087	0,653549	2,574862	-1,194063	-1,194273	-2,481206	0,059146	4,359009	3,072075	5,511753	7,635516	92,249849	7,277003	-4,968129	0,000000	567,080139	0,003056	214,187086	1,563396
N/A	08.07.2026	16:30:18,600	0,270238	0,572131	3,981410	0,602575	2,567605	4,389985	-0,142486	-0,002549	0,341584	-0,431359	0,000094	0,003024	1,782725	-0,982753	0,021924	0,517953	-1,842874	-0,014963	-1,531182	1,612034	4,705393	0,011751	-0,311595	0,187562	-0,649936	192,607239	0,994149	0,842369	0,341584	0,000094	2,567605	0,839871	0,334084	0,188244	0,601117	2,562248	-4,547132	-4,547236	-8,112686	0,187562	-1,744750	-5,310200	5,511775	7,635410	91,951132	7,359980	-4,951533	0,000000	567,079985	0,002896	236,251993	1,565609
N/A	08.07.2026	16:30:18,800	0,334149	0,572079	0,473662	0,575206	2,364984	5,169750	0,353629	-0,031289	-0,410130	-0,379393	-0,000199	-0,003210	0,859620	-0,711406	-0,303473	0,218954	-3,488822	0,053689	-1,842336	2,127218	0,615134	0,005135	0,167526	0,246408	0,218633	192,607239	0,994149	0,906228	-0,410130	-0,000199	2,364984	0,907987	-0,412689	0,247683	0,576912	2,373156	-8,772735	-8,772516	-10,491756	0,246408	-10,467656	-12,186897	5,511819	7,634340	91,764709	7,411765	-4,941176	0,000000	567,080039	0,002745	273,926985	1,568413
